vep,region,recall,specificity,auc,type
FATHMM,intermediate,0.762180415,0.788443362,0.776680038,Clinical-trained
MetaSVM,intermediate,0.787747226,0.842790873,0.81549443,Clinical-trained
UNEECON,intermediate,0.753014954,0.773222,0.763680162,Population-tuned
CADD,intermediate,0.821997106,0.660760778,0.741880767,Clinical-trained
DeMaSk,intermediate,0.708634829,0.75702937,0.733292535,Population-free
DANN,intermediate,0.80463097,0.486048534,0.646786424,Clinical-trained
ESM-1v,intermediate,0.696575012,0.796752776,0.747705366,Population-free
DEOGEN2,intermediate,0.819585142,0.827209997,0.826934445,Clinical-trained
CPT,intermediate,0.753014954,0.801301789,0.777669545,Population-free
MPC,intermediate,0.704293295,0.704862138,0.706064045,Clinical-trained
VARITY_ER,intermediate,0.762180415,0.812066916,0.790638444,Clinical-trained
Polyphen2_HumVar,intermediate,0.7631452,0.692081992,0.729761232,Clinical-trained
LIST-S2,intermediate,0.711529185,0.686373257,0.699326469,Population-tuned
BayesDel,disordered,0.754826255,0.944471836,0.864108738,Clinical-trained
Polyphen2_HumDiv,disordered,0.726833977,0.820831236,0.774722739,Clinical-trained
AlphaMissense,disordered,0.736486486,0.926119134,0.832357105,Population-tuned
PROVEAN,disordered,0.6496139,0.931481373,0.793529466,Population-free
ClinPred,disordered,0.722007722,0.940565756,0.840219828,Clinical-trained
MetaRNN,disordered,0.666988417,0.97923825,0.856340254,Clinical-trained
PonP2,disordered,0.734555985,0.840657979,0.789815988,Clinical-trained
SIFT4G,disordered,0.659266409,0.886902496,0.773815418,Population-free
VESPAl,disordered,0.631274131,0.931849244,0.782813557,Clinical-trained
Envision,disordered,0.711389961,0.762426521,0.744788673,Population-free
ESM-1b,disordered,0.643822394,0.946541113,0.802225502,Population-free
VARITY_R,disordered,0.678571429,0.963279268,0.83595523,Clinical-trained
GEMME,disordered,0.694980695,0.840458715,0.773831783,Population-free
SIFT,disordered,0.762548263,0.772320733,0.763016501,Population-free
SNPred,disordered,0.697876448,0.982791787,0.882833932,Clinical-trained
MutFormer,disordered,0.812741313,0.915514726,0.867221267,Clinical-trained
VEST4,disordered,0.735521236,0.930405859,0.841693953,Clinical-trained
REVEL,disordered,0.722007722,0.960206008,0.862541082,Clinical-trained
MutScore,disordered,0.714285714,0.970721003,0.862223228,Clinical-trained
MutPred,disordered,0.581081081,0.982375377,0.791288694,Clinical-trained
FATHMM,disordered,0.737451737,0.829790441,0.78405463500000006,Clinical-trained
MetaSVM,disordered,0.71042471,0.917218687,0.826530298,Clinical-trained
UNEECON,disordered,0.777992278,0.841626197,0.815827067,Population-tuned
CADD,disordered,0.77992278,0.823352689,0.80448676,Clinical-trained
DeMaSk,disordered,0.72972973,0.802358465,0.772847162,Population-free
DANN,disordered,0.724903475,0.638642861,0.697541923,Clinical-trained
ESM-1v,disordered,0.621621622,0.945386406,0.785980352,Population-free
DEOGEN2,disordered,0.725868726,0.931057299,0.831189627,Clinical-trained
CPT,disordered,0.626447876,0.961731142,0.813393426,Population-free
MPC,disordered,0.472972973,0.79769365,0.654106926,Clinical-trained
VARITY_ER,disordered,0.694015444,0.949302705,0.826614549,Clinical-trained
Polyphen2_HumVar,disordered,0.72972973,0.840931328,0.786083369,Clinical-trained
LIST-S2,disordered,0.722007722,0.831951686,0.781888082,Population-tuned
