gene,uniprot_id,inheritance
AHDC1,Q5TGY3,Autosomal dominant
AHI1,Q8N157,Autosomal recessive
AHR,P35869,Autosomal recessive
AHSG,P02765,Autosomal recessive
AICDA,Q9GZX7,Autosomal recessive
AIFM1,O95831,X-linked recessive
AIMP1,Q12904,Autosomal recessive
AIMP2,Q13155,Autosomal recessive
AIP,O00170,Autosomal dominant
AIP,O00170,Somatic mutation
AIPL1,Q9NZN9,Autosomal dominant
AIPL1,Q9NZN9,Autosomal recessive
AIRE,O43918,Autosomal dominant
AIRE,O43918,Autosomal recessive
AK1,P00568,Autosomal recessive
AK2,P54819,Autosomal recessive
AK7,Q96M32,Autosomal recessive
AKAP9,Q99996,Autosomal dominant
AKR1C2,P52895,Autosomal recessive
AKR1C4,P17516,Autosomal recessive
AKR1D1,P51857,Autosomal recessive
AKT2,P31751,Autosomal dominant
AKT3,Q9Y243,Autosomal dominant
ALAD,P13716,Autosomal recessive
ALAS2,P22557,X-linked
ALAS2,P22557,X-linked recessive
ALB,P02768,Autosomal dominant
ALB,P02768,Autosomal recessive
ALDH18A1,P54886,Autosomal dominant
ALDH18A1,P54886,Autosomal recessive
ALDH1A2,O94788,Autosomal recessive
ALDH1A3,P47895,Autosomal recessive
ALDH2,P05091,Autosomal dominant
ALDH3A2,P51648,Autosomal recessive
ALDH4A1,P30038,Autosomal recessive
ALDH5A1,P51649,Autosomal recessive
ALDH6A1,Q02252,Autosomal recessive
ALDH7A1,P49419,Autosomal recessive
ALDOA,P04075,Autosomal recessive
ALDOB,P05062,Autosomal recessive
ALG1,Q9BT22,Autosomal recessive
ALG10B,Q5I7T1,Autosomal dominant
ALG11,Q2TAA5,Autosomal recessive
ALG12,Q9BV10,Autosomal recessive
ALG13,Q9NP73,X-linked
ALG14,Q96F25,Autosomal recessive
ALG2,Q9H553,Autosomal recessive
ALG3,Q92685,Autosomal recessive
ALG5,Q9Y673,Autosomal dominant
ALG6,Q9Y672,Autosomal recessive
ALG8,Q9BVK2,Autosomal dominant
ALG8,Q9BVK2,Autosomal recessive
ALG9,Q9H6U8,Autosomal recessive
ALKBH8,Q96BT7,Autosomal recessive
ALMS1,Q8TCU4,Autosomal recessive
ALOX12B,O75342,Autosomal recessive
ALOX5,P09917,Autosomal dominant
ALOX5AP,P20292,Multifactorial
ALOXE3,Q9BYJ1,Autosomal recessive
ALPK1,Q96QP1,Autosomal dominant
ALPK3,Q96L96,Autosomal recessive
ALPL,P05186,Autosomal dominant
ALPL,P05186,Autosomal recessive
ALS2,Q96Q42,Autosomal recessive
ALX1,Q15699,Autosomal recessive
ALX3,O95076,Autosomal recessive
ALX4,Q9H161,Autosomal dominant
ALX4,Q9H161,Autosomal recessive
AMACR,Q9UHK6,Autosomal recessive
AMBN,Q9NP70,Autosomal recessive
AMELX,Q99217,X-linked dominant
AMER1,Q5JTC6,X-linked dominant
AMH,P03971,Autosomal recessive
AMHR2,Q16671,Autosomal recessive
AMMECR1,Q9Y4X0,X-linked recessive
AMN,Q9BXJ7,Autosomal recessive
AMPD1,P23109,Autosomal recessive
AMPD2,Q01433,Autosomal recessive
AMPD3,Q01432,Autosomal recessive
AMT,P48728,Autosomal recessive
AMTN,Q6UX39,Autosomal dominant
ANAPC1,Q9H1A4,Autosomal recessive
ANAPC7,Q9UJX3,Autosomal recessive
ANGPT1,Q15389,Autosomal dominant
ANGPT2,O15123,Autosomal dominant
ANGPTL3,Q9Y5C1,Autosomal recessive
ANGPTL4,Q9BY76,Autosomal dominant
ANK1,P16157,Autosomal dominant
ANK1,P16157,Autosomal recessive
ANK2,Q01484,Autosomal dominant
ANK3,Q12955,Autosomal recessive
ANKH,Q9HCJ1,Autosomal dominant
ANKLE2,Q86XL3,Autosomal recessive
ANKRD11,Q6UB99,Autosomal dominant
ANKRD17,O75179,Autosomal dominant
ANKRD26,Q9UPS8,Autosomal dominant
ANKS6,Q68DC2,Autosomal recessive
ANLN,Q9NQW6,Autosomal dominant
ANO1,Q5XXA6,Autosomal recessive
ANO10,Q9NW15,Autosomal recessive
ANO3,Q9BYT9,Autosomal dominant
ANO5,Q75V66,Autosomal dominant
ANO5,Q75V66,Autosomal recessive
ANO6,Q4KMQ2,Autosomal recessive
ANOS1,P23352,X-linked recessive
ANTXR1,Q9H6X2,Autosomal dominant
ANTXR1,Q9H6X2,Autosomal recessive
ANTXR2,P58335,Autosomal recessive
ANXA11,P50995,Autosomal dominant
ANXA5,P08758,Autosomal dominant
AOPEP,Q8N6M6,Autosomal recessive
AP1B1,Q10567,Autosomal recessive
AP1G1,O43747,Autosomal dominant
AP1G1,O43747,Autosomal recessive
AP1S1,P61966,Autosomal recessive
AP1S2,P56377,X-linked recessive
AP1S3,Q96PC3,Autosomal dominant
AP2M1,Q96CW1,Autosomal dominant
AP2S1,P53680,Autosomal dominant
AP3B1,O00203,Autosomal recessive
AP3B2,Q13367,Autosomal recessive
AP3D1,O14617,Autosomal recessive
AP4B1,Q9Y6B7,Autosomal recessive
AP4E1,Q9UPM8,Autosomal dominant
AP4E1,Q9UPM8,Autosomal recessive
AP4M1,O00189,Autosomal recessive
AP4S1,Q9Y587,Autosomal recessive
AP5Z1,O43299,Autosomal recessive
APC,P25054,Autosomal dominant
APC2,O95996,Autosomal recessive
APCDD1,Q8J025,Autosomal dominant
APOA1,P02647,Autosomal dominant
APOA1,P02647,Autosomal recessive
APOA2,P02652,Autosomal dominant
APOA2,P02652,Autosomal recessive
APOA5,Q6Q788,Autosomal dominant
APOB,P04114,Autosomal dominant
APOB,P04114,Autosomal recessive
APOC2,P02655,Autosomal recessive
APOE,P02649,Autosomal dominant
APOE,P02649,Autosomal recessive
APOL2,Q9BQE5,Autosomal dominant
APOL4,Q9BPW4,Autosomal dominant
APP,P05067,Autosomal dominant
APPL1,Q9UKG1,Autosomal dominant
APRT,P07741,Autosomal recessive
APTX,Q7Z2E3,Autosomal recessive
AQP2,P41181,Autosomal dominant
AQP2,P41181,Autosomal recessive
AQP5,P55064,Autosomal dominant
AQP7,O14520,Autosomal recessive
AR,P10275,Somatic mutation
AR,P10275,X-linked recessive
AR,P10275,Autosomal dominant
ARCN1,P48444,Autosomal dominant
ARF1,P84077,Autosomal dominant
ARFGEF1,Q9Y6D6,Autosomal dominant
ARFGEF2,Q9Y6D5,Autosomal recessive
ARG1,P05089,Autosomal recessive
ARHGAP31,Q2M1Z3,Autosomal dominant
ARHGDIA,P52565,Autosomal recessive
ARHGEF1,Q92888,Autosomal recessive
ARHGEF10,O15013,Autosomal dominant
ARHGEF18,Q6ZSZ5,Autosomal recessive
ARHGEF2,Q92974,Autosomal recessive
ARHGEF9,O43307,X-linked
ARID1A,O14497,Autosomal dominant
ARID1B,Q8NFD5,Autosomal dominant
ARID2,Q68CP9,Autosomal dominant
ARL13B,Q3SXY8,Autosomal recessive
ARL2,P36404,Autosomal dominant
ARL2BP,Q9Y2Y0,Autosomal recessive
ARL3,P36405,Autosomal dominant
ARL3,P36405,Autosomal recessive
ARL6,Q9H0F7,Autosomal recessive
ARL6,Q9H0F7,Digenic recessive
ARL6IP1,Q15041,Autosomal recessive
ARMC2,Q8NEN0,Autosomal recessive
ARMC5,Q96C12,Autosomal dominant
ARMC5,Q96C12,Somatic mutation
ARMC9,Q7Z3E5,Autosomal recessive
ARNT2,Q9HBZ2,Autosomal recessive
ARPC1B,O15143,Autosomal recessive
ARPC4,P59998,Autosomal dominant
ARR3,P36575,X-linked
ARSA,P15289,Autosomal recessive
ARSB,P15848,Autosomal recessive
ARSG,Q96EG1,Autosomal recessive
ARSK,Q6UWY0,Autosomal recessive
ARSL,P51690,X-linked recessive
ARV1,Q9H2C2,Autosomal recessive
ARX,Q96QS3,X-linked
ARX,Q96QS3,X-linked recessive
ASAH1,Q13510,Autosomal recessive
ASB10,Q8WXI3,Autosomal dominant
ASCC1,Q8N9N2,Autosomal recessive
ASH1L,Q9NR48,Autosomal dominant
ASL,P04424,Autosomal recessive
ASNS,P08243,Autosomal recessive
ASPA,P45381,Autosomal recessive
ASPH,Q12797,Autosomal recessive
ASPM,Q8IZT6,Autosomal recessive
ASPN,Q9BXN1,Autosomal dominant
ASPRV1,Q53RT3,Autosomal dominant
ASS1,P00966,Autosomal recessive
ASTL,Q6HA08,Autosomal recessive
ASXL1,Q8IXJ9,Autosomal dominant
ASXL2,Q76L83,Autosomal dominant
ASXL3,Q9C0F0,Autosomal dominant
ATAD1,Q8NBU5,Autosomal recessive
ATAD3A,Q9NVI7,Autosomal dominant
ATAD3A,Q9NVI7,Autosomal recessive
ATCAY,Q86WG3,Autosomal recessive
ATF6,P18850,Autosomal recessive
ATG5,Q9H1Y0,Autosomal recessive
ATG7,O95352,Autosomal recessive
ATIC,P31939,Autosomal recessive
ATL1,Q8WXF7,Autosomal dominant
ATL3,Q6DD88,Autosomal dominant
ATM,Q13315,Autosomal dominant
ATM,Q13315,Autosomal recessive
ATM,Q13315,Somatic mutation
ATN1,P54259,Autosomal dominant
ATOH1,Q92858,Autosomal dominant
ATOH7,Q8N100,Autosomal recessive
ATP11A,P98196,Autosomal dominant
ATP11C,Q8NB49,X-linked recessive
ATP13A2,Q9NQ11,Autosomal recessive
ATP13A3,Q9H7F0,Autosomal recessive
ATP1A1,P05023,Autosomal dominant
ATP1A2,P50993,Autosomal dominant
ATP1A2,P50993,Autosomal recessive
ATP1A3,P13637,Autosomal dominant
ATP1B1,P05026,Multifactorial
ATP2A1,O14983,Autosomal recessive
ATP2A2,P16615,Autosomal dominant
ATP2B1,P20020,Autosomal dominant
ATP2B2,Q01814,Autosomal dominant
ATP2B2,Q01814,Autosomal recessive
ATP2B3,Q16720,X-linked recessive
ATP2C1,P98194,Autosomal dominant
ATP5F1A,P25705,Autosomal recessive
ATP5F1B,P06576,Autosomal dominant
ATP5F1D,P30049,Autosomal recessive
ATP5F1E,P56381,Autosomal recessive
ATP5MC3,P48201,Autosomal dominant
ATP5MK,Q96IX5,Autosomal recessive
ATP6AP1,Q15904,X-linked recessive
ATP6AP2,O75787,X-linked recessive
ATP6V0A1,Q93050,Autosomal dominant
ATP6V0A1,Q93050,Autosomal recessive
ATP6V0A2,Q9Y487,Autosomal recessive
ATP6V0A4,Q9HBG4,Autosomal recessive
ATP6V1A,P38606,Autosomal dominant
ATP6V1A,P38606,Autosomal recessive
ATP6V1B1,P15313,Autosomal recessive
ATP6V1B2,P21281,Autosomal dominant
ATP6V1E1,P36543,Autosomal recessive
ATP7A,Q04656,X-linked recessive
ATP7B,P35670,Autosomal recessive
ATP8A2,Q9NTI2,Autosomal recessive
ATP8B1,O43520,Autosomal dominant
ATP8B1,O43520,Autosomal recessive
ATP9A,O75110,Autosomal recessive
ATPAF2,Q8N5M1,Autosomal recessive
ATR,Q13535,Autosomal dominant
ATR,Q13535,Autosomal recessive
ATRX,P46100,X-linked dominant
ATRX,P46100,X-linked recessive
ATXN1,P54253,Autosomal dominant
ATXN10,Q9UBB4,Autosomal dominant
ATXN2,Q99700,Autosomal dominant
ATXN2,Q99700,Multifactorial
ATXN3,P54252,Autosomal dominant
ATXN7,O15265,Autosomal dominant
AUH,Q13825,Autosomal recessive
AURKA,O14965,Autosomal dominant
AURKA,O14965,Somatic mutation
AURKC,Q9UQB9,Autosomal recessive
AUTS2,Q8WXX7,Autosomal dominant
AVIL,O75366,Autosomal recessive
AVP,P01185,Autosomal dominant
AVPR2,P30518,X-linked recessive
AXIN2,Q9Y2T1,Autosomal dominant
B2M,P61769,Autosomal dominant
B2M,P61769,Autosomal recessive
B3GALNT2,Q8NCR0,Autosomal recessive
B3GALT6,Q96L58,Autosomal recessive
B3GAT3,O94766,Autosomal recessive
B3GLCT,Q6Y288,Autosomal recessive
B4GALNT1,Q00973,Autosomal recessive
B4GALT1,P15291,Autosomal recessive
B4GALT7,Q9UBV7,Autosomal recessive
B4GAT1,O43505,Autosomal recessive
B9D1,Q9UPM9,Autosomal recessive
B9D2,Q9BPU9,Autosomal recessive
BAAT,Q14032,Autosomal recessive
BACH2,Q9BYV9,Autosomal dominant
BAG3,O95817,Autosomal dominant
BAG5,Q9UL15,Autosomal recessive
BANF1,O75531,Autosomal recessive
BAP1,Q92560,Autosomal dominant
BARD1,Q99728,Autosomal dominant
BARD1,Q99728,Somatic mutation
BBIP1,A8MTZ0,Autosomal recessive
BBS1,Q8NFJ9,Autosomal recessive
BBS1,Q8NFJ9,Digenic recessive
BBS10,Q8TAM1,Autosomal recessive
BBS12,Q6ZW61,Autosomal recessive
BBS2,Q9BXC9,Autosomal recessive
BBS4,Q96RK4,Autosomal recessive
BBS5,Q8N3I7,Autosomal recessive
BBS7,Q8IWZ6,Autosomal recessive
BBS9,Q3SYG4,Autosomal recessive
BCAM,P50895,Autosomal recessive
BCAP31,P51572,X-linked recessive
BCAS3,Q9H6U6,Autosomal recessive
BCAT2,O15382,Autosomal recessive
BCHE,P06276,Autosomal recessive
BCKDHA,P12694,Autosomal recessive
BCKDHB,P21953,Autosomal recessive
BCL10,O95999,Autosomal recessive
BCL11A,Q9H165,Autosomal dominant
BCL11B,Q9C0K0,Autosomal dominant
BCO1,Q9HAY6,Autosomal dominant
BCOR,Q6W2J9,X-linked dominant
BCORL1,Q5H9F3,X-linked recessive
BCS1L,Q9Y276,Autosomal recessive
BDP1,A6H8Y1,Autosomal recessive
BEAN1,Q3B7T3,Autosomal dominant
BEST1,O76090,Autosomal dominant
BEST1,O76090,Autosomal recessive
BFSP1,Q12934,Autosomal dominant
BFSP1,Q12934,Autosomal recessive
BFSP2,Q13515,Autosomal dominant
BGN,P21810,X-linked
BGN,P21810,X-linked recessive
BHLHA9,Q7RTU4,Autosomal recessive
BHLHE41,Q9C0J9,Autosomal dominant
BICC1,Q9H694,Autosomal dominant
BICD2,Q8TD16,Autosomal dominant
BICRA,Q9NZM4,Autosomal dominant
BIN1,O00499,Autosomal recessive
BLK,P51451,Autosomal dominant
BLM,P54132,Autosomal recessive
BLNK,Q8WV28,Autosomal recessive
BLOC1S3,Q6QNY0,Autosomal recessive
BLOC1S5,Q8TDH9,Autosomal recessive
BLOC1S6,Q9UL45,Autosomal recessive
BLTP1,Q2LD37,Autosomal recessive
BLVRA,P53004,Autosomal dominant
BLVRA,P53004,Autosomal recessive
BMP1,P13497,Autosomal recessive
BMP15,O95972,X-linked
BMP2,P12643,Autosomal dominant
BMP2,P12643,Autosomal recessive
BMP4,P12644,Autosomal dominant
BMP6,P22004,Autosomal dominant
BMPER,Q8N8U9,Autosomal recessive
BMPR1A,P36894,Autosomal dominant
BMPR1B,O00238,Autosomal dominant
BMPR1B,O00238,Autosomal recessive
BMPR2,Q13873,Autosomal dominant
BMS1,Q14692,Autosomal dominant
BNC1,Q01954,Autosomal dominant
BNC2,Q6ZN30,Autosomal dominant
BOLA3,Q53S33,Autosomal recessive
BPGM,P07738,Autosomal recessive
BPNT2,Q9NX62,Autosomal recessive
BPTF,Q12830,Autosomal dominant
BRAF,P15056,Autosomal dominant
BRAT1,Q6PJG6,Autosomal recessive
BRCA1,P38398,Autosomal dominant
BRCA1,P38398,Autosomal recessive
BRCA1,P38398,Multifactorial
BRCA2,P51587,Autosomal dominant
BRCA2,P51587,Autosomal recessive
BRCA2,P51587,Somatic mutation
BRDT,Q58F21,Autosomal recessive
BRF1,Q92994,Autosomal recessive
BRIP1,Q9BX63,Autosomal dominant
BRIP1,Q9BX63,Somatic mutation
BRPF1,P55201,Autosomal dominant
BRWD3,Q6RI45,X-linked recessive
BSCL2,Q96G97,Autosomal dominant
BSCL2,Q96G97,Autosomal recessive
BSND,Q8WZ55,Autosomal recessive
BTD,P43251,Autosomal recessive
BTG4,Q9NY30,Autosomal recessive
BTK,Q06187,X-linked recessive
BTNL2,Q9UIR0,Autosomal dominant
BUB1,O43683,Autosomal recessive
BUB1B,O60566,Autosomal dominant
BUB1B,O60566,Autosomal recessive
BVES,Q8NE79,Autosomal recessive
C12orf4,Q9NQ89,Autosomal recessive
C12orf57,Q99622,Autosomal recessive
C18orf32,Q8TCD1,Autosomal recessive
C19orf12,Q9NSK7,Autosomal dominant
C19orf12,Q9NSK7,Autosomal recessive
C1QA,P02745,Autosomal recessive
C1QB,P02746,Autosomal recessive
C1QBP,Q07021,Autosomal recessive
C1QC,P02747,Autosomal recessive
C1QTNF5,Q9BXJ0,Autosomal dominant
C1R,P00736,Autosomal dominant
C1S,P09871,Autosomal dominant
C2,P06681,Autosomal recessive
C2,P06681,Digenic dominant
C2CD3,Q4AC94,Autosomal recessive
C2CD6,Q53TS8,Autosomal recessive
C2orf69,Q8N8R5,Autosomal recessive
C3,P01024,Autosomal dominant
C3,P01024,Autosomal recessive
C4A,P0C0L4,Autosomal recessive
C5,P01031,Autosomal dominant
C5,P01031,Autosomal recessive
C6,P13671,Autosomal recessive
C8A,P07357,Autosomal recessive
C8B,P07358,Autosomal recessive
C9,P02748,Autosomal dominant
C9orf72,Q96LT7,Autosomal dominant
CA12,O43570,Autosomal recessive
CA2,P00918,Autosomal recessive
CA5A,P35218,Autosomal recessive
CA8,P35219,Autosomal recessive
CABP2,Q9NPB3,Autosomal recessive
CABP4,P57796,Autosomal recessive
CACNA1A,O00555,Autosomal dominant
CACNA1B,Q00975,Autosomal recessive
CACNA1C,Q13936,Autosomal dominant
CACNA1D,Q01668,Autosomal dominant
CACNA1D,Q01668,Autosomal recessive
CACNA1E,Q15878,Autosomal dominant
CACNA1F,O60840,X-linked
CACNA1F,O60840,X-linked recessive
CACNA1G,O43497,Autosomal dominant
CACNA1H,O95180,Autosomal dominant
CACNA1I,Q9P0X4,Autosomal dominant
CACNA1S,Q13698,Autosomal dominant
CACNA1S,Q13698,Autosomal recessive
CACNA2D1,P54289,Autosomal recessive
CACNA2D2,Q9NY47,Autosomal recessive
CACNA2D4,Q7Z3S7,Autosomal recessive
CACNB2,Q08289,Autosomal dominant
CACNB4,O00305,Autosomal dominant
CACNG2,Q9Y698,Autosomal dominant
CAD,P27708,Autosomal recessive
CADM3,Q8N126,Autosomal dominant
CALCR,P30988,Autosomal dominant
CALCRL,Q16602,Autosomal recessive
CALM2,P0DP24,Autosomal dominant
CALM3,P0DP25,Autosomal dominant
CAMK2A,Q9UQM7,Autosomal dominant
CAMK2A,Q9UQM7,Autosomal recessive
CAMK2B,Q13554,Autosomal dominant
CAMK2G,Q13555,Autosomal dominant
CAMLG,P49069,Autosomal recessive
CAMTA1,Q9Y6Y1,Autosomal dominant
CANT1,Q8WVQ1,Autosomal recessive
CAPN1,P07384,Autosomal recessive
CAPN15,O75808,Autosomal recessive
CAPN3,P20807,Autosomal dominant
CAPN3,P20807,Autosomal recessive
CAPN5,O15484,Autosomal dominant
CARD10,Q9BWT7,Autosomal recessive
CARD11,Q9BXL7,Autosomal dominant
CARD11,Q9BXL7,Autosomal recessive
CARD14,Q9BXL6,Autosomal dominant
CARD8,Q9Y2G2,Autosomal dominant
CARD9,Q9H257,Autosomal recessive
CARMIL2,Q6F5E8,Autosomal recessive
CARS1,P49589,Autosomal recessive
CARS2,Q9HA77,Autosomal recessive
CARTPT,Q16568,Autosomal dominant
CARTPT,Q16568,Autosomal recessive
CARTPT,Q16568,Multifactorial
CASK,O14936,X-linked dominant
CASP10,Q92851,Autosomal dominant
CASP14,P31944,Autosomal recessive
CASP8,Q14790,Autosomal dominant
CASP8,Q14790,Autosomal recessive
CASP8,Q14790,Somatic mutation
CASQ1,P31415,Autosomal dominant
CASQ2,O14958,Autosomal recessive
CASR,P41180,Autosomal dominant
CASR,P41180,Autosomal recessive
CAST,P20810,Autosomal recessive
CATIP,Q7Z7H3,Autosomal recessive
CATSPER1,Q8NEC5,Autosomal recessive
CAV1,Q03135,Autosomal dominant
CAV1,Q03135,Autosomal recessive
CAV3,P56539,Autosomal dominant
CAV3,P56539,Digenic dominant
CAVIN1,Q6NZI2,Autosomal recessive
CBFB,Q13951,Autosomal dominant
CBL,P22681,Autosomal dominant
CBL,P22681,Somatic mutation
CBLIF,P27352,Autosomal recessive
CBS,P35520,Autosomal recessive
CBX2,Q14781,Autosomal recessive
CC2D1A,Q6P1N0,Autosomal recessive
CC2D2A,Q9P2K1,Autosomal recessive
CCBE1,Q6UXH8,Autosomal recessive
CCDC103,Q8IW40,Autosomal recessive
CCDC115,Q96NT0,Autosomal recessive
CCDC134,Q9H6E4,Autosomal recessive
CCDC174,Q6PII3,Autosomal recessive
CCDC22,O60826,X-linked recessive
CCDC28B,Q9BUN5,Autosomal recessive
CCDC28B,Q9BUN5,Digenic recessive
CCDC32,Q9BV29,Autosomal recessive
CCDC34,Q96HJ3,Autosomal recessive
CCDC39,Q9UFE4,Autosomal recessive
CCDC40,Q4G0X9,Autosomal recessive
CCDC47,Q96A33,Autosomal recessive
CCDC50,Q8IVM0,Autosomal dominant
CCDC62,Q6P9F0,Autosomal recessive
CCDC65,Q8IXS2,Autosomal recessive
CCDC78,A2IDD5,Autosomal dominant
CCDC8,Q9H0W5,Autosomal recessive
CCDC88A,Q3V6T2,Autosomal recessive
CCDC88C,Q9P219,Autosomal dominant
